instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp_hour,atemp,hum_hour,windspeed_hour,casual,registered,cnt,waktu_hari,windspeed_day,temp_day,hum_day
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,Malam/Dini Hari,0.160446,0.344167,0.805833
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,Malam/Dini Hari,0.160446,0.344167,0.805833
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,Malam/Dini Hari,0.160446,0.344167,0.805833
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,Malam/Dini Hari,0.160446,0.344167,0.805833
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,Malam/Dini Hari,0.160446,0.344167,0.805833
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,Pagi (Berangkat),0.160446,0.344167,0.805833
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,Pagi (Berangkat),0.160446,0.344167,0.805833
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,Pagi (Berangkat),0.160446,0.344167,0.805833
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,Pagi (Berangkat),0.160446,0.344167,0.805833
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,Pagi (Berangkat),0.160446,0.344167,0.805833
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,Siang (Rekreasi),0.160446,0.344167,0.805833
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,Siang (Rekreasi),0.160446,0.344167,0.805833
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,Siang (Rekreasi),0.160446,0.344167,0.805833
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,Siang (Rekreasi),0.160446,0.344167,0.805833
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,Siang (Rekreasi),0.160446,0.344167,0.805833
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,Siang (Rekreasi),0.160446,0.344167,0.805833
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,Sore (Pulang),0.160446,0.344167,0.805833
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,Sore (Pulang),0.160446,0.344167,0.805833
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,Sore (Pulang),0.160446,0.344167,0.805833
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,Sore (Pulang),0.160446,0.344167,0.805833
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,Malam/Dini Hari,0.160446,0.344167,0.805833
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,Malam/Dini Hari,0.160446,0.344167,0.805833
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,Malam/Dini Hari,0.160446,0.344167,0.805833
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,Malam/Dini Hari,0.160446,0.344167,0.805833
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,Malam/Dini Hari,0.248539,0.363478,0.696087
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,Malam/Dini Hari,0.248539,0.363478,0.696087
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,Malam/Dini Hari,0.248539,0.363478,0.696087
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,Malam/Dini Hari,0.248539,0.363478,0.696087
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,Malam/Dini Hari,0.248539,0.363478,0.696087
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,Pagi (Berangkat),0.248539,0.363478,0.696087
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,Pagi (Berangkat),0.248539,0.363478,0.696087
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,Pagi (Berangkat),0.248539,0.363478,0.696087
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,Pagi (Berangkat),0.248539,0.363478,0.696087
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,Siang (Rekreasi),0.248539,0.363478,0.696087
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,Siang (Rekreasi),0.248539,0.363478,0.696087
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,Siang (Rekreasi),0.248539,0.363478,0.696087
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,Siang (Rekreasi),0.248539,0.363478,0.696087
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,Siang (Rekreasi),0.248539,0.363478,0.696087
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,Siang (Rekreasi),0.248539,0.363478,0.696087
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,Sore (Pulang),0.248539,0.363478,0.696087
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,Sore (Pulang),0.248539,0.363478,0.696087
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,Sore (Pulang),0.248539,0.363478,0.696087
43,2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,Sore (Pulang),0.248539,0.363478,0.696087
44,2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,Malam/Dini Hari,0.248539,0.363478,0.696087
45,2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,Malam/Dini Hari,0.248539,0.363478,0.696087
46,2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,Malam/Dini Hari,0.248539,0.363478,0.696087
47,2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,Malam/Dini Hari,0.248539,0.363478,0.696087
48,2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,Malam/Dini Hari,0.248309,0.196364,0.437273
49,2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,Malam/Dini Hari,0.248309,0.196364,0.437273
50,2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,Malam/Dini Hari,0.248309,0.196364,0.437273
51,2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,Pagi (Berangkat),0.248309,0.196364,0.437273
52,2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,Pagi (Berangkat),0.248309,0.196364,0.437273
53,2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,Pagi (Berangkat),0.248309,0.196364,0.437273
54,2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,Pagi (Berangkat),0.248309,0.196364,0.437273
55,2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,Pagi (Berangkat),0.248309,0.196364,0.437273
56,2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,Siang (Rekreasi),0.248309,0.196364,0.437273
57,2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,Siang (Rekreasi),0.248309,0.196364,0.437273
58,2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,Siang (Rekreasi),0.248309,0.196364,0.437273
59,2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,Siang (Rekreasi),0.248309,0.196364,0.437273
60,2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,Siang (Rekreasi),0.248309,0.196364,0.437273
61,2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,Siang (Rekreasi),0.248309,0.196364,0.437273
62,2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,Sore (Pulang),0.248309,0.196364,0.437273
63,2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,Sore (Pulang),0.248309,0.196364,0.437273
64,2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,Sore (Pulang),0.248309,0.196364,0.437273
65,2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,Sore (Pulang),0.248309,0.196364,0.437273
66,2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,Malam/Dini Hari,0.248309,0.196364,0.437273
67,2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,Malam/Dini Hari,0.248309,0.196364,0.437273
68,2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,Malam/Dini Hari,0.248309,0.196364,0.437273
69,2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,Malam/Dini Hari,0.248309,0.196364,0.437273
70,2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,Malam/Dini Hari,0.160296,0.2,0.590435
71,2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,Malam/Dini Hari,0.160296,0.2,0.590435
72,2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,Malam/Dini Hari,0.160296,0.2,0.590435
73,2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,Malam/Dini Hari,0.160296,0.2,0.590435
74,2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,Pagi (Berangkat),0.160296,0.2,0.590435
75,2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,Pagi (Berangkat),0.160296,0.2,0.590435
76,2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,Pagi (Berangkat),0.160296,0.2,0.590435
77,2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,Pagi (Berangkat),0.160296,0.2,0.590435
78,2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,Pagi (Berangkat),0.160296,0.2,0.590435
79,2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,Siang (Rekreasi),0.160296,0.2,0.590435
80,2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,Siang (Rekreasi),0.160296,0.2,0.590435
81,2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,Siang (Rekreasi),0.160296,0.2,0.590435
82,2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,Siang (Rekreasi),0.160296,0.2,0.590435
