instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,wind_category,waktu_hari
1,2011-01-01,Spring,0,1,0,0,6,Weekend/Holiday,1,0.24,0.2879,0.81,0.0,3,13,16,,Malam/Dini Hari
2,2011-01-01,Spring,0,1,1,0,6,Weekend/Holiday,1,0.22,0.2727,0.8,0.0,8,32,40,,Malam/Dini Hari
3,2011-01-01,Spring,0,1,2,0,6,Weekend/Holiday,1,0.22,0.2727,0.8,0.0,5,27,32,,Malam/Dini Hari
4,2011-01-01,Spring,0,1,3,0,6,Weekend/Holiday,1,0.24,0.2879,0.75,0.0,3,10,13,,Malam/Dini Hari
5,2011-01-01,Spring,0,1,4,0,6,Weekend/Holiday,1,0.24,0.2879,0.75,0.0,0,1,1,,Malam/Dini Hari
6,2011-01-01,Spring,0,1,5,0,6,Weekend/Holiday,2,0.24,0.2576,0.75,0.0896,0,1,1,Rendah,Pagi (Berangkat)
7,2011-01-01,Spring,0,1,6,0,6,Weekend/Holiday,1,0.22,0.2727,0.8,0.0,2,0,2,,Pagi (Berangkat)
8,2011-01-01,Spring,0,1,7,0,6,Weekend/Holiday,1,0.2,0.2576,0.86,0.0,1,2,3,,Pagi (Berangkat)
9,2011-01-01,Spring,0,1,8,0,6,Weekend/Holiday,1,0.24,0.2879,0.75,0.0,1,7,8,,Pagi (Berangkat)
10,2011-01-01,Spring,0,1,9,0,6,Weekend/Holiday,1,0.32,0.3485,0.76,0.0,8,6,14,,Pagi (Berangkat)
11,2011-01-01,Spring,0,1,10,0,6,Weekend/Holiday,1,0.38,0.3939,0.76,0.2537,12,24,36,Sedang,Siang (Rekreasi)
12,2011-01-01,Spring,0,1,11,0,6,Weekend/Holiday,1,0.36,0.3333,0.81,0.2836,26,30,56,Sedang,Siang (Rekreasi)
13,2011-01-01,Spring,0,1,12,0,6,Weekend/Holiday,1,0.42,0.4242,0.77,0.2836,29,55,84,Sedang,Siang (Rekreasi)
14,2011-01-01,Spring,0,1,13,0,6,Weekend/Holiday,2,0.46,0.4545,0.72,0.2985,47,47,94,Sedang,Siang (Rekreasi)
15,2011-01-01,Spring,0,1,14,0,6,Weekend/Holiday,2,0.46,0.4545,0.72,0.2836,35,71,106,Sedang,Siang (Rekreasi)
16,2011-01-01,Spring,0,1,15,0,6,Weekend/Holiday,2,0.44,0.4394,0.77,0.2985,40,70,110,Sedang,Siang (Rekreasi)
17,2011-01-01,Spring,0,1,16,0,6,Weekend/Holiday,2,0.42,0.4242,0.82,0.2985,41,52,93,Sedang,Sore (Pulang)
18,2011-01-01,Spring,0,1,17,0,6,Weekend/Holiday,2,0.44,0.4394,0.82,0.2836,15,52,67,Sedang,Sore (Pulang)
19,2011-01-01,Spring,0,1,18,0,6,Weekend/Holiday,3,0.42,0.4242,0.88,0.2537,9,26,35,Sedang,Sore (Pulang)
20,2011-01-01,Spring,0,1,19,0,6,Weekend/Holiday,3,0.42,0.4242,0.88,0.2537,6,31,37,Sedang,Sore (Pulang)
21,2011-01-01,Spring,0,1,20,0,6,Weekend/Holiday,2,0.4,0.4091,0.87,0.2537,11,25,36,Sedang,Malam/Dini Hari
22,2011-01-01,Spring,0,1,21,0,6,Weekend/Holiday,2,0.4,0.4091,0.87,0.194,3,31,34,Sedang,Malam/Dini Hari
23,2011-01-01,Spring,0,1,22,0,6,Weekend/Holiday,2,0.4,0.4091,0.94,0.2239,11,17,28,Sedang,Malam/Dini Hari
24,2011-01-01,Spring,0,1,23,0,6,Weekend/Holiday,2,0.46,0.4545,0.88,0.2985,15,24,39,Sedang,Malam/Dini Hari
25,2011-01-02,Spring,0,1,0,0,0,Weekend/Holiday,2,0.46,0.4545,0.88,0.2985,4,13,17,Sedang,Malam/Dini Hari
26,2011-01-02,Spring,0,1,1,0,0,Weekend/Holiday,2,0.44,0.4394,0.94,0.2537,1,16,17,Sedang,Malam/Dini Hari
27,2011-01-02,Spring,0,1,2,0,0,Weekend/Holiday,2,0.42,0.4242,1.0,0.2836,1,8,9,Sedang,Malam/Dini Hari
28,2011-01-02,Spring,0,1,3,0,0,Weekend/Holiday,2,0.46,0.4545,0.94,0.194,2,4,6,Sedang,Malam/Dini Hari
29,2011-01-02,Spring,0,1,4,0,0,Weekend/Holiday,2,0.46,0.4545,0.94,0.194,2,1,3,Sedang,Malam/Dini Hari
30,2011-01-02,Spring,0,1,6,0,0,Weekend/Holiday,3,0.42,0.4242,0.77,0.2985,0,2,2,Sedang,Pagi (Berangkat)
31,2011-01-02,Spring,0,1,7,0,0,Weekend/Holiday,2,0.4,0.4091,0.76,0.194,0,1,1,Sedang,Pagi (Berangkat)
32,2011-01-02,Spring,0,1,8,0,0,Weekend/Holiday,3,0.4,0.4091,0.71,0.2239,0,8,8,Sedang,Pagi (Berangkat)
33,2011-01-02,Spring,0,1,9,0,0,Weekend/Holiday,2,0.38,0.3939,0.76,0.2239,1,19,20,Sedang,Pagi (Berangkat)
34,2011-01-02,Spring,0,1,10,0,0,Weekend/Holiday,2,0.36,0.3485,0.81,0.2239,7,46,53,Sedang,Siang (Rekreasi)
35,2011-01-02,Spring,0,1,11,0,0,Weekend/Holiday,2,0.36,0.3333,0.71,0.2537,16,54,70,Sedang,Siang (Rekreasi)
36,2011-01-02,Spring,0,1,12,0,0,Weekend/Holiday,2,0.36,0.3333,0.66,0.2985,20,73,93,Sedang,Siang (Rekreasi)
37,2011-01-02,Spring,0,1,13,0,0,Weekend/Holiday,2,0.36,0.3485,0.66,0.1343,11,64,75,Sedang,Siang (Rekreasi)
38,2011-01-02,Spring,0,1,14,0,0,Weekend/Holiday,3,0.36,0.3485,0.76,0.194,4,55,59,Sedang,Siang (Rekreasi)
39,2011-01-02,Spring,0,1,15,0,0,Weekend/Holiday,3,0.34,0.3333,0.81,0.1642,19,55,74,Sedang,Siang (Rekreasi)
40,2011-01-02,Spring,0,1,16,0,0,Weekend/Holiday,3,0.34,0.3333,0.71,0.1642,9,67,76,Sedang,Sore (Pulang)
41,2011-01-02,Spring,0,1,17,0,0,Weekend/Holiday,1,0.34,0.3333,0.57,0.194,7,58,65,Sedang,Sore (Pulang)
42,2011-01-02,Spring,0,1,18,0,0,Weekend/Holiday,2,0.36,0.3333,0.46,0.3284,10,43,53,Tinggi,Sore (Pulang)
43,2011-01-02,Spring,0,1,19,0,0,Weekend/Holiday,1,0.32,0.2879,0.42,0.4478,1,29,30,Tinggi,Sore (Pulang)
44,2011-01-02,Spring,0,1,20,0,0,Weekend/Holiday,1,0.3,0.2727,0.39,0.3582,5,17,22,Tinggi,Malam/Dini Hari
45,2011-01-02,Spring,0,1,21,0,0,Weekend/Holiday,1,0.26,0.2273,0.44,0.3284,11,20,31,Tinggi,Malam/Dini Hari
46,2011-01-02,Spring,0,1,22,0,0,Weekend/Holiday,1,0.24,0.2121,0.44,0.2985,0,9,9,Sedang,Malam/Dini Hari
47,2011-01-02,Spring,0,1,23,0,0,Weekend/Holiday,1,0.22,0.2273,0.47,0.1642,0,8,8,Sedang,Malam/Dini Hari
48,2011-01-03,Spring,0,1,0,0,1,Working Day,1,0.22,0.197,0.44,0.3582,0,5,5,Tinggi,Malam/Dini Hari
49,2011-01-03,Spring,0,1,1,0,1,Working Day,1,0.2,0.1667,0.44,0.4179,0,2,2,Tinggi,Malam/Dini Hari
50,2011-01-03,Spring,0,1,4,0,1,Working Day,1,0.16,0.1364,0.47,0.3881,0,1,1,Tinggi,Malam/Dini Hari
51,2011-01-03,Spring,0,1,5,0,1,Working Day,1,0.16,0.1364,0.47,0.2836,0,3,3,Sedang,Pagi (Berangkat)
52,2011-01-03,Spring,0,1,6,0,1,Working Day,1,0.14,0.1061,0.5,0.3881,0,30,30,Tinggi,Pagi (Berangkat)
53,2011-01-03,Spring,0,1,7,0,1,Working Day,1,0.14,0.1364,0.5,0.194,1,63,64,Sedang,Pagi (Berangkat)
54,2011-01-03,Spring,0,1,8,0,1,Working Day,1,0.14,0.1212,0.5,0.2836,1,153,154,Sedang,Pagi (Berangkat)
55,2011-01-03,Spring,0,1,9,0,1,Working Day,1,0.16,0.1364,0.43,0.3881,7,81,88,Tinggi,Pagi (Berangkat)
56,2011-01-03,Spring,0,1,10,0,1,Working Day,1,0.18,0.1667,0.43,0.2537,11,33,44,Sedang,Siang (Rekreasi)
57,2011-01-03,Spring,0,1,11,0,1,Working Day,1,0.2,0.1818,0.4,0.3284,10,41,51,Tinggi,Siang (Rekreasi)
58,2011-01-03,Spring,0,1,12,0,1,Working Day,1,0.22,0.2121,0.35,0.2985,13,48,61,Sedang,Siang (Rekreasi)
59,2011-01-03,Spring,0,1,13,0,1,Working Day,1,0.24,0.2121,0.35,0.2836,8,53,61,Sedang,Siang (Rekreasi)
60,2011-01-03,Spring,0,1,14,0,1,Working Day,1,0.26,0.2424,0.3,0.2836,11,66,77,Sedang,Siang (Rekreasi)
61,2011-01-03,Spring,0,1,15,0,1,Working Day,1,0.26,0.2424,0.3,0.2537,14,58,72,Sedang,Siang (Rekreasi)
62,2011-01-03,Spring,0,1,16,0,1,Working Day,1,0.26,0.2424,0.3,0.2537,9,67,76,Sedang,Sore (Pulang)
63,2011-01-03,Spring,0,1,17,0,1,Working Day,1,0.24,0.2273,0.3,0.2239,11,146,157,Sedang,Sore (Pulang)
64,2011-01-03,Spring,0,1,18,0,1,Working Day,1,0.24,0.2576,0.32,0.1045,9,148,157,Sedang,Sore (Pulang)
65,2011-01-03,Spring,0,1,19,0,1,Working Day,1,0.2,0.2576,0.47,0.0,8,102,110,,Sore (Pulang)
66,2011-01-03,Spring,0,1,20,0,1,Working Day,1,0.2,0.2273,0.47,0.1045,3,49,52,Sedang,Malam/Dini Hari
67,2011-01-03,Spring,0,1,21,0,1,Working Day,1,0.18,0.197,0.64,0.1343,3,49,52,Sedang,Malam/Dini Hari
68,2011-01-03,Spring,0,1,22,0,1,Working Day,1,0.14,0.1515,0.69,0.1343,0,20,20,Sedang,Malam/Dini Hari
69,2011-01-03,Spring,0,1,23,0,1,Working Day,1,0.18,0.2121,0.55,0.1045,1,11,12,Sedang,Malam/Dini Hari
70,2011-01-04,Spring,0,1,0,0,2,Working Day,1,0.16,0.1818,0.55,0.1045,0,5,5,Sedang,Malam/Dini Hari
71,2011-01-04,Spring,0,1,1,0,2,Working Day,1,0.16,0.1818,0.59,0.1045,0,2,2,Sedang,Malam/Dini Hari
72,2011-01-04,Spring,0,1,2,0,2,Working Day,1,0.14,0.1515,0.63,0.1343,0,1,1,Sedang,Malam/Dini Hari
73,2011-01-04,Spring,0,1,4,0,2,Working Day,1,0.14,0.1818,0.63,0.0896,0,2,2,Rendah,Malam/Dini Hari
74,2011-01-04,Spring,0,1,5,0,2,Working Day,1,0.12,0.1515,0.68,0.1045,0,4,4,Sedang,Pagi (Berangkat)
75,2011-01-04,Spring,0,1,6,0,2,Working Day,1,0.12,0.1515,0.74,0.1045,0,36,36,Sedang,Pagi (Berangkat)
76,2011-01-04,Spring,0,1,7,0,2,Working Day,1,0.12,0.1515,0.74,0.1343,2,92,94,Sedang,Pagi (Berangkat)
77,2011-01-04,Spring,0,1,8,0,2,Working Day,1,0.14,0.1515,0.69,0.1642,2,177,179,Sedang,Pagi (Berangkat)
78,2011-01-04,Spring,0,1,9,0,2,Working Day,1,0.16,0.1515,0.64,0.2239,2,98,100,Sedang,Pagi (Berangkat)
79,2011-01-04,Spring,0,1,10,0,2,Working Day,2,0.16,0.1364,0.69,0.3284,5,37,42,Tinggi,Siang (Rekreasi)
80,2011-01-04,Spring,0,1,11,0,2,Working Day,1,0.22,0.2121,0.51,0.2985,7,50,57,Sedang,Siang (Rekreasi)
81,2011-01-04,Spring,0,1,12,0,2,Working Day,1,0.22,0.2273,0.51,0.1642,12,66,78,Sedang,Siang (Rekreasi)
82,2011-01-04,Spring,0,1,13,0,2,Working Day,1,0.24,0.2273,0.56,0.194,18,79,97,Sedang,Siang (Rekreasi)
83,2011-01-04,Spring,0,1,14,0,2,Working Day,1,0.26,0.2576,0.52,0.2239,9,54,63,Sedang,Siang (Rekreasi)
84,2011-01-04,Spring,0,1,15,0,2,Working Day,1,0.28,0.2727,0.52,0.2537,17,48,65,Sedang,Siang (Rekreasi)
85,2011-01-04,Spring,0,1,16,0,2,Working Day,1,0.3,0.2879,0.49,0.2537,15,68,83,Sedang,Sore (Pulang)
86,2011-01-04,Spring,0,1,17,0,2,Working Day,1,0.28,0.2727,0.48,0.2239,10,202,212,Sedang,Sore (Pulang)
87,2011-01-04,Spring,0,1,18,0,2,Working Day,1,0.26,0.2576,0.48,0.194,3,179,182,Sedang,Sore (Pulang)
88,2011-01-04,Spring,0,1,19,0,2,Working Day,1,0.24,0.2576,0.48,0.1045,2,110,112,Sedang,Sore (Pulang)
89,2011-01-04,Spring,0,1,20,0,2,Working Day,1,0.24,0.2576,0.48,0.1045,1,53,54,Sedang,Malam/Dini Hari
90,2011-01-04,Spring,0,1,21,0,2,Working Day,1,0.22,0.2727,0.64,0.0,0,48,48,,Malam/Dini Hari
91,2011-01-04,Spring,0,1,22,0,2,Working Day,1,0.22,0.2576,0.64,0.0896,1,34,35,Rendah,Malam/Dini Hari
92,2011-01-04,Spring,0,1,23,0,2,Working Day,1,0.2,0.2273,0.69,0.0896,2,9,11,Rendah,Malam/Dini Hari
93,2011-01-05,Spring,0,1,0,0,3,Working Day,1,0.2,0.2576,0.64,0.0,0,6,6,,Malam/Dini Hari
94,2011-01-05,Spring,0,1,1,0,3,Working Day,1,0.16,0.197,0.74,0.0896,0,6,6,Rendah,Malam/Dini Hari
